classifier,matrix,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
logistic regression,mean pool,false_positive_rate,0.0,0.0,0.0,0.125,0.125,0.1875,0.1875,0.25,0.25,0.3125,0.3125,0.375,0.375,0.4375,0.4375,0.5,0.5,0.5625,0.5625,0.625,0.625,0.75,0.75,0.8125,0.8125,0.875,0.875,0.9375,0.9375,1.0
logistic regression,mean pool,true_positive_rate,0.0,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.15555555555555556,0.15555555555555556,0.2,0.2,0.2222222222222222,0.2222222222222222,0.37777777777777777,0.37777777777777777,0.4222222222222222,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.5555555555555556,0.5555555555555556,0.6444444444444445,0.6444444444444445,0.7111111111111111,0.7111111111111111,0.7777777777777778,0.7777777777777778,0.8444444444444444,0.8444444444444444,0.9555555555555556,0.9555555555555556,1.0,1.0
logistic regression,mean pool,threshold,2.8281896652572547,1.828189665257255,1.4304742194702882,1.400669619664103,1.366554697946911,1.3217436682653136,1.2757995434229248,1.2678198120830821,1.201981948845486,1.1862954132179777,1.075975084093985,1.0569093019240807,1.0469273091323965,1.0401269979990941,0.9429430539827168,0.9427450360659833,0.9350236190370038,0.9270748980352324,0.8805126499071492,0.874231545594166,0.8560983645383178,0.8300187508851378,0.8055927548031596,0.7893346527540868,0.750539993639457,0.7158933901090785,0.5853106409422681,0.5617988769022177,0.4128914162517303,-0.15818270966464998
logistic regression,max pool,false_positive_rate,0.0,0.0,0.0625,0.125,0.125,0.1875,0.25,0.375,0.375,0.375,0.4375,0.5,0.5,0.75,0.9375,0.9375,0.9375,1.0
logistic regression,max pool,true_positive_rate,0.0,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.4,0.5333333333333333,0.5777777777777777,0.5777777777777777,0.6,0.6222222222222222,0.6888888888888889,0.8444444444444444,0.9777777777777777,1.0,1.0
logistic regression,max pool,threshold,2.9510795750315726,1.9510795750315728,1.7693681133505197,1.7153605001640555,1.4518750683906418,1.3123906241988395,1.270163606709589,1.2161559935231248,1.2137823984526181,1.159774785266154,1.136988592347942,0.8779369253408772,0.8716274955107216,0.823929312154413,0.7145778918116873,0.6605702786252231,0.6605702786252228,-0.3733064932561948
support vector machine,mean pool,false_positive_rate,0.0,0.0,0.0,0.1875,0.1875,0.25,0.25,0.3125,0.3125,0.375,0.375,0.4375,0.4375,0.5,0.5,0.625,0.625,0.6875,0.6875,0.75,0.75,0.8125,0.8125,0.875,0.875,0.9375,0.9375,1.0
support vector machine,mean pool,true_positive_rate,0.0,0.022222222222222223,0.13333333333333333,0.13333333333333333,0.2,0.2,0.24444444444444444,0.24444444444444444,0.4,0.4,0.4444444444444444,0.4444444444444444,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6888888888888889,0.6888888888888889,0.8222222222222222,0.8222222222222222,0.8444444444444444,0.8444444444444444,0.8666666666666667,0.8666666666666667,0.8888888888888888,0.8888888888888888,1.0,1.0
support vector machine,mean pool,threshold,1.8143753055334975,0.8143753055334975,0.6601701766833913,0.6235500692377429,0.5913244131294083,0.560088039951962,0.555705584322908,0.5450448271266217,0.4735780588082425,0.46357627695856324,0.44499325344323604,0.39687259749659043,0.38094826534516246,0.38068420158450494,0.3666416256856357,0.33861984255802774,0.32911233027988307,0.3282183507082875,0.28783821912069035,0.28687337383659045,0.2833965890302115,0.28184864960639894,0.23202485233821923,0.20615580686144902,0.20529125167791645,0.16616794751723768,0.09349486783011245,-0.07873360036653304
support vector machine,max pool,false_positive_rate,0.0,0.0,0.0625,0.125,0.1875,0.1875,0.25,0.375,0.4375,0.4375,0.4375,0.4375,0.6875,0.75,0.75,0.9375,1.0
support vector machine,max pool,true_positive_rate,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.37777777777777777,0.4,0.4444444444444444,0.5777777777777777,0.6,0.6666666666666666,0.6888888888888889,0.8444444444444444,1.0,1.0
support vector machine,max pool,threshold,1.8479132238360931,0.8479132238360931,0.7550084123475418,0.7548383602848208,0.6750709141020947,0.6573215436215634,0.5815443780497486,0.5644167321330122,0.5642466800702912,0.5507458740754483,0.5505758220127273,0.36668325533605806,0.36640163489770483,0.3662315828349838,0.3601541938609185,0.3599841417981975,-0.31133610265122214
